
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:21 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:26 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:31 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:36 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:41 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:46 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.861 6 25.500	04/08/2011 05:42:51 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.868 6 25.480	04/08/2011 05:42:56 	22 m			24 m	0:00:05	17 kph	306° true
Trackpoint	59 00.871 6 25.475	04/08/2011 05:43:01 	23 m			7 m	0:00:05	5 kph	319° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:06 	22 m			4 m	0:00:05	3 kph	304° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:11 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:16 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:21 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:26 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:31 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:36 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:41 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:46 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:51 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:43:56 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:44:01 	22 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.872 6 25.472	04/08/2011 05:44:06 	22 m			0 m	0:00:05	0 kph	0° true
