
Trackpoint	58 58.244 5 48.348	03/08/2011 14:36:49 	0 m			24 m	0:00:02	43 kph	94° true
Trackpoint	58 58.242 5 48.385	03/08/2011 14:36:52 	0 m			36 m	0:00:03	43 kph	96° true
Trackpoint	58 58.240 5 48.410	03/08/2011 14:36:54 	0 m			23 m	0:00:02	42 kph	97° true
Trackpoint	58 58.239 5 48.434	03/08/2011 14:36:56 	0 m			24 m	0:00:02	42 kph	97° true
Trackpoint	58 58.236 5 48.472	03/08/2011 14:36:59 	0 m			36 m	0:00:03	43 kph	98° true
Trackpoint	58 58.234 5 48.510	03/08/2011 14:37:02 	0 m			37 m	0:00:03	44 kph	95° true
Trackpoint	58 58.234 5 48.535	03/08/2011 14:37:04 	0 m			24 m	0:00:02	43 kph	93° true
Trackpoint	58 58.233 5 48.560	03/08/2011 14:37:06 	0 m			24 m	0:00:02	44 kph	95° true
Trackpoint	58 58.231 5 48.598	03/08/2011 14:37:09 	0 m			36 m	0:00:03	44 kph	94° true
Trackpoint	58 58.230 5 48.623	03/08/2011 14:37:11 	0 m			25 m	0:00:02	44 kph	95° true
Trackpoint	58 58.228 5 48.649	03/08/2011 14:37:13 	0 m			25 m	0:00:02	45 kph	96° true
Trackpoint	58 58.226 5 48.687	03/08/2011 14:37:16 	0 m			37 m	0:00:03	44 kph	96° true
Trackpoint	58 58.225 5 48.713	03/08/2011 14:37:18 	0 m			25 m	0:00:02	44 kph	95° true
Trackpoint	58 58.225 5 48.751	03/08/2011 14:37:21 	0 m			36 m	0:00:03	44 kph	91° true
Trackpoint	58 58.225 5 48.776	03/08/2011 14:37:23 	0 m			24 m	0:00:02	43 kph	91° true
Trackpoint	58 58.223 5 48.816	03/08/2011 14:37:26 	0 m			38 m	0:00:03	45 kph	94° true
Trackpoint	58 58.222 5 48.854	03/08/2011 14:37:29 	0 m			36 m	0:00:03	44 kph	93° true
Trackpoint	58 58.221 5 48.878	03/08/2011 14:37:31 	0 m			24 m	0:00:02	42 kph	93° true
Trackpoint	58 58.220 5 48.915	03/08/2011 14:37:34 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.218 5 48.953	03/08/2011 14:37:37 	0 m			37 m	0:00:03	44 kph	96° true
Trackpoint	58 58.217 5 48.980	03/08/2011 14:37:39 	0 m			25 m	0:00:02	46 kph	97° true
Trackpoint	58 58.215 5 49.019	03/08/2011 14:37:42 	0 m			38 m	0:00:03	45 kph	96° true
Trackpoint	58 58.213 5 49.057	03/08/2011 14:37:45 	0 m			37 m	0:00:03	44 kph	94° true
